probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
STDHsInv1065BP4HG38	4879	1238	865	0	371	
STDHsInv1066BP1HG18	5440	2698	1908	0	758	
STDHsInv1066BP2HG18	4433	2524	1805	0	767	
STDHsInv1070BP1HG18	7033	2357	1500	58	689	errorMatches
STDHsInv1070BP2HG18	3960	1583	1131	52	514	errorMatches
STDHsInv1075BP1HG18	5531	2320	1268	357	615	errorMatches
STDHsInv1075BP2HG18	3283	1777	1271	50	623	errorMatches
STDHsInv1116BP1HG18	836	297	191	0	69	
STDHsInv1116BP2HG18	566	338	221	0	70	
STDHsInv1122BP1HG18	1657	596	412	1	152	errorMatches
STDHsInv1122BP2HG18	1091	599	399	1	137	errorMatches
STDHsInv1127BP1HG38	2761	907	629	1	225	errorMatches
STDHsInv1127BP2HG38	826	419	226	2	63	errorMatches
STDHsInv1128BP1HG38	7173	2568	1817	1	735	errorMatches
STDHsInv1128BP2HG38	7379	2270	1616	7	698	errorMatches
STDHsInv1129BP1HG38	5152	1307	935	0	382	
STDHsInv1129BP2HG38	2485	1189	829	0	319	
STDHsInv1143BP1HG38	12	10	2	0	0	emptyRef
STDHsInv1143BP2HG38	5	0	0	0	0	emptyRef,allFiltered
STDHsInv1222BP1HG38	6051	2074	1455	0	557	
STDHsInv1222BP2HG38	6474	1949	1361	0	535	
STDHsInv1256BP1HG38	6920	2404	1721	9	755	errorMatches
STDHsInv1256BP2HG38	6617	2666	1911	1	837	errorMatches
STDHsInv1258BP1HG38	5577	2218	1563	0	623	
STDHsInv1258BP2HG38	6705	2476	1734	3	668	errorMatches
STDHsInv1263BP1HG38	6270	1833	1246	0	445	
STDHsInv1263BP2HG38	4605	1609	1091	0	367	
STDHsInv1264BP2HG38	7315	2752	2012	0	895	
STDHsInv1306BP1HG38	2997	2233	1610	0	736	
STDHsInv1306BP2HG38	4604	2561	1845	0	796	
STDHsInv1314BP1HG38	5537	2590	1835	0	757	
STDHsInv1314BP2HG38	6144	2211	1561	0	641	
STDHsInv1321BP1HG38	2419	1432	988	11	412	errorMatches
STDHsInv1321BP2HG38	4225	1530	1092	1	488	errorMatches
STDHsInv1348BP1HG38	6679	2362	1734	1	811	errorMatches
STDHsInv1348BP2HG38	4164	2421	1733	2	765	errorMatches
STDHsInv1358BP1HG38	5627	1711	1195	0	431	
STDHsInv1358BP2HG38	5862	2196	1563	0	673	
STDHsInv1360BP1HG38	6621	2551	1841	0	807	
STDHsInv1360BP2HG38	7983	2020	1463	0	645	
STDHsInv1402BP1HG38	5835	2375	1739	0	814	
STDHsInv1402BP2HG38	5565	2224	1532	82	698	errorMatches
STDHsInv1421BP1HG38	8792	3150	2289	0	1074	
STDHsInv1421BP2HG38	5826	3150	2246	0	971	
STDHsInv1427BP1HG38	6776	2524	1808	13	822	errorMatches
STDHsInv1427BP2HG38	4378	2399	1738	0	796	
STDHsInv1474BP1HG38	4160	1495	1016	79	464	errorMatches
